id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,artist_genres,lyrics
6dZKWYSx5YBIme4SfpIHJ0,In the Mood,56,False,211586,Greatest Hits,1996-04-14,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,"swing music, jazz, big band",
1PBk81bJudnKT10GllH8HW,Try A Little Tenderness / (I Love You) For Sentimental Reasons / You Send Me - Live,47,False,295626,"Sam Cooke At The Copa (Live From Copacabana, New York City/July 7 & 8, 1964)",1964-01-01,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,"motown, soul",
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,82,False,125093,Just As I Am,1971-05-01,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,"soul, motown",
66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,64,False,151866,What A Diff'rence A Day Makes! (Expanded Edition),1959-02-19,Dinah Washington,32LHRiof0sa4taYew9i3Fa,"jazz, jazz blues, vocal jazz","7 ContributorsWhat a Diff’rence a Day Made LyricsWhat a difference a day made
Twenty-four little hours
Brought the sun and the flowers
Where there used to be rain
My yesterday was blue dear
Today I'm a part of you dear
My lonely nights are through dear
Since you said you were mine
Lord, what a difference a day made
Theres a rainbow before me
Skies above can't be stormy
Since that moment of bliss;
That thrilling kiss
It's heaven when you
Find romance on your menu
What a difference a day made
And the difference is you"
0h87GbMRuU8ENP8LmdeA22,At Last,50,False,180706,Music From The Motion Picture Cadillac Records,2008-11-28,Beyoncé,6vWDO969PvNqNYHIOW5v0m,,"8 ContributorsAt Last LyricsBeyoncé covered the Etta James classic for the 2008 film Cadillac Records, in which she portrays Etta James. Performed numerous times live, most notably at the Inaugural Ball for former President Obama.
 This… Read More 
At last
My love has come along
My lonely days are over
And life is like a song
Oh, yeah, yeah

At last
The skies above are blue
My heart was wrapped up in clover
The night I looked at you

I found a dream that I could speak to
A dream that I can call my own
I found a thrill to press my cheek to
A thrill that I have never known, oh, yeah

When you smiled, you smiled
Oh, and then the spell was cast
And here we are in Heaven
For you are mine at last"
74cTLzttRYdy798wjmudYR,(Where Do I Begin) Love Story - 1994 Remaster,58,False,197440,Something Else,1971,Shirley Bassey,090VebphoycdEyH165iMqc,easy listening,
6e6Kxot9nHyZ4I8GgmGKII,Nothing Can Change This Love,65,False,158680,Mr. Soul,1963-02,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,"motown, soul","14 ContributorsNothing Can Change This Love Lyrics
If I go a million miles away
I'd write a letter each and every day
'Cause honey, nothing, nothing can ever change this love I have for you

Mm, make me weep and you can make me cry
See me coming and you can pass me by
But honey, nothing, nothing can ever change this love I have for you

And oh-oh, you're the apple of my eye, you're cherry pie
And oh, you're, you're cake and ice cream
And oh, you're sugar and spice, and everything nice
You're the girl of my, my, my, my, dreams

But if you wanted to leave me and roam
When you got back, I'd just say welcome home
'Cause honey, nothing, nothing, nothing can ever change this, love I have for you
Wo-oh-oh-oh, yeah

I know, I know, I know, I know, I know that nothing, nothing, nothing can ever
Change the love I have for you"
7uIaBPSTlBaAQr1asfZ3B4,I Wish You Love,56,False,144906,Mr. Soul,1963-02,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,"motown, soul","9 ContributorsI Wish You Love Lyrics
I wish you bluebirds in the spring
To give your heart a song to sing
And then a kiss oh but more than this
I wish you love

And in July a lemonade
To cool you in some leafy glade
I wish you health
Oh and more than wealth
I wish you love

My breaking heart and I agree
That you and I will never be
So with my best, my very best
I am setting you free
Oh honey

I wish you shelter from the storm
A cozy fire to keep you warm
Oh but most of all I wish you love
But most of all when snowflakes fall I wish you love
Mmm, but most of all when snowflakes fall I wish you love"
1hnmifV30f0m8YPIZIqnCF,Cry Me a River,44,False,167853,Mr. Soul,1963-02,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,"motown, soul","8 ContributorsCry Me a River LyricsNow you say you're lonely
You cry the whole night through
Well you can cry me a river
Cry me a river
I cried a river over you
Now you say you're sorry
For being so untrue
Well you can cry me a river
Cry me a river
I cried a river over you
You drove me, nearly drove me out of my head
While you never shed a tear
Remember, I remember all that you said
Told me love was too plebeian
Told me you were through with me
And now you say you love me
Well just prove you do
Come on and cry me a river
Cry, cry me a river
Cause I cried a river over you
Come on and cry me a river
Cry, cry, cry me a river
I cried a river over you"
2IdwQxhJn9ZE4zIotcCefR,Stormy Weather,70,False,187666,At Last!,1960,Etta James,0iOVhN3tnSvgDbcg25JoJb,"jazz blues, blues, soul blues, soul, vocal jazz","11 ContributorsStormy Weather LyricsDon't know why
There's no sun up in the sky
Stormy weather
Since my man and I ain't together
Keeps raining all of the time
Oh yeah
Life is bare
Gloom and misery everywhere
Stormy weather, stormy weather
And I just can't get my poor self together
Oh I'm weary all of the time
The time, so weary all of the time
When he went away
The blues walked in and met me
Oh yeah if he stays away
Old rocking chair's gonna get me
All I do is pray
The Lord will let me
Walk in the sun once more
Oh I can't go on, can't go on, can't go on
Everything I have is gone
Stormy weather, stormy weather
Since my man and I, me and my daddy ain't together
Keeps raining all of the time
Oh, oh, keeps raining all of the time
Oh yeah, yeah, yeah raining all of the time
Stormy stormy
Stormy weather
Yeah"
6TYTG0Y8dZZHP8EluhrXel,While We're Young,53,False,135240,So Much Guitar!,1961,Wes Montgomery,03YhcM6fxypfwckPCQV8pQ,"jazz, jazz blues, hard bop, bebop, cool jazz",
50G4bmpZt73jslY5PzymvY,I'm In The Mood For Love,53,False,175000,The Complete Savoy Master Takes,1998-10-06,Erroll Garner,6C65D20ASusYqHGSIktfED,"jazz, cool jazz",
63kd4m3VFxcJjPVVtbVNAu,"Hello, Dolly!",60,False,147000,"Hello, Dolly! (Remastered)",1964-10-25,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,"jazz, jazz blues, vocal jazz, swing music, big band","20 ContributorsHello, Dolly! LyricsHello, Dolly
This is Louis, Dolly
It's so nice to have you back where you belong
You're lookin' swell, Dolly
I can tell, Dolly
You're still glowin', you're still crowin'
You're still goin' strong
I feel the room swayin'
While the band's playin'
One of our old favourite songs from way back when
So take her wrap, fellas
Find her an empty lap, fellas
Dolly'll never go away again
I feel the room swayin'
While the band's playin'
One of our old favourite songs from way back when
So golly, gee, fellas
Have a little faith in me, fellas
Dolly, never go away
Promise you'll never go away
Dolly, never go away again"
75KRlncgTKRWd9CjqPZgcx,Misty,52,False,169373,The Original Misty,1988-08-15,Erroll Garner,6C65D20ASusYqHGSIktfED,"jazz, cool jazz","4 ContributorsMisty LyricsGarner’s best-known song was originally written as a jazz instrumental, but Johnny Burke later added lyrics for Johnny Mathis' version of the song, which greatly raised the profile of what had been an obscure… Read More Look at me
I'm as helpless as a kitten up a tree
And I feel like I'm clinging to a cloud, I can't understand
I get misty, just holding your hand
Walk my way
And a thousand violins begin to play
Or it might be the sound of your hello, that music I hear
I get misty, the moment you're near
You can say that you're leading me on
But it's just what I want you to do
Don't you notice how hopelessly I'm lost
That's why I'm following you
On my own
Would I wander through this wonderland alone
Never knowing my right foot from my left, my hat from my glove
I'm too misty, and too much in love
I'm too misty, and too much in love"
1UdkQHQZs7pMWLpZBDVRxl,I Cover The Waterfront,43,False,152266,The Complete Capitol Recordings Of Art Tatum,1997-01-01,Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,"bebop, jazz, ragtime",
2TFzmt2xRoSd3KNelJcUxZ,They Say It's Wonderful,57,False,182626,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),1963,John Coltrane Quartet,67PZTxaHKMZBFRUh8wIzCy,"jazz, hard bop, free jazz, bebop, cool jazz",
62KZRwymXq9Rgm8Cm5UCfx,The World We Knew (Over And Over),73,False,167053,The World We Knew,1967-08,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,"jazz, christmas, adult standards, vocal jazz, swing music, big band","13 ContributorsTranslationsEspañolThe World We Knew (Over and Over) Lyrics
Over and over I keep going over the world we knew
Once when you walked beside me
That inconceivable, that unbelievable world we knew
When we two were in love

And every bright neon sign turned into stars
And the sun and the moon seemed to be ours
Each road that we took turned into gold
But the dream was too much for you to hold

Now over and over I keep going over the world we knew
Days when you used to love me

And every bright neon sign turned into stars
And the sun and the moon seemed to be ours
Each road that we took, it turned into gold
But the dream was too much for you to hold

Now over and over I keep going over the world we knew
Days when you used to love me

Over and over I keep going over the world we knew"
5RcvlmVx2xtFcp2Ta5pw7X,Someone To Watch Over Me,54,False,196666,Ella Sings Gershwin,1950-09-11,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,"jazz, jazz blues, christmas, vocal jazz, swing music, big band","14 ContributorsSomeone to Watch Over Me Lyrics
There's a saying old, says that love is blind
Still, we're often told, ""Seek and ye shall find""
So I'm going to seek a certain lad I've had in mind
Looking everywhere, haven't found him yet
He's the big affair I cannot forget
Only man I ever think of with regret
I'd like to add his initial to my monogram
Tell me, where is the shepherd for this lost lamb?

There's a somebody I'm longing to see
I hope that he
Turns out to be
Someone who'll watch over me
I'm a little lamb who's lost in the wood
I know I could
Always be good
To one who'll watch over me
Although he may not be the man some
Girls think of as handsome
To my heart he carries the key
Won't you tell him, please, to put on some speed
Follow my lead?
Oh, how I need
Someone to watch over me"
